"Locale","App name","Short description","Full description"
"en-IN","Shelter Combat","Side-scrolling street fighting with combos, grabs, throws, and allies.","Shelter Combat is a side-scrolling street fighting action game. Enter Blacksteel City and fight through alleys, cliffs, rooftops, shelters, forests, and other dangerous stages. The game focuses on close-range strikes, grabs, throws, jumps, flying kicks, and combo follow-ups. Enemies use different attack styles, including slide kicks, heavy slams, spinning kicks, grapples, axe strikes, blink stabs, long-range whip attacks, and brutal charges. Watch their movement, control your position, use back hops, chain punches and kicks, and take advantage of height differences to counterattack. Clear stages to earn gold, chicken, and mystic fruit. Use them to upgrade your fighter, recruit allies, and unlock skills. The skill tree includes punch, leg arts, and grapple branches, giving the hero more combat options as you progress. The game is still being improved. Feedback and suggestions are welcome through the in-game feedback feature."
"zh-CN","避难所格斗","横版街头格斗，拳脚连段、抓投飞踢，挑战黑钢城敌人。","《避难所格斗》是一款横版街头动作格斗游戏。你将进入黑钢城，在街巷、荒壁、高楼、避难所和密林等关卡中一路挑战不同敌人。游戏强调近身打击、抓取、投掷、跳跃、飞踢和连段衔接。敌人拥有不同攻击方式：滑铲、重砸、旋风腿、擒拿、斧击、瞬移刺杀、长鞭压制和冲撞等。你需要观察敌人的动作，利用走位、后跳、拳脚组合和场景高低差寻找反击机会。你可以通过关卡获得金币、鸡腿和神奇果实，用于强化角色属性、招募队友和点亮技能。技能树包含拳击、腿法和擒拿分支，让主角逐渐成长出更丰富的战斗方式。游戏仍在持续打磨中，欢迎通过反馈功能提交问题和建议，一起完善这款街头格斗作品。"
"zh-TW","避難所格鬥","橫向街頭格鬥，拳腳連段、抓投飛踢，挑戰黑鋼城敵人。","《避難所格鬥》是一款橫向卷軸街頭動作格鬥遊戲。你將進入黑鋼城，在街巷、荒壁、高樓、避難所與密林等關卡中挑戰不同敵人。遊戲強調近身打擊、抓取、投擲、跳躍、飛踢與連段銜接。敵人擁有不同攻擊方式：滑鏟、重砸、旋風腿、擒拿、斧擊、瞬移刺殺、長鞭壓制與衝撞等。你需要觀察敵人的動作，利用走位、後跳、拳腳組合與場景高低差尋找反擊機會。你可以透過關卡獲得金幣、雞腿與神奇果實，用於強化角色屬性、招募隊友和點亮技能。技能樹包含拳擊、腿法與擒拿分支，讓主角逐漸成長出更豐富的戰鬥方式。遊戲仍在持續打磨中，歡迎透過回饋功能提交問題與建議，一起完善這款街頭格鬥作品。"
"zh-HK","避難所格鬥","橫向街頭格鬥，拳腳連段、抓投飛踢，挑戰黑鋼城敵人。","《避難所格鬥》是一款橫向卷軸街頭動作格鬥遊戲。你將進入黑鋼城，在街巷、荒壁、高樓、避難所與密林等關卡中挑戰不同敵人。遊戲強調近身打擊、抓取、投擲、跳躍、飛踢與連段銜接。敵人擁有不同攻擊方式：滑鏟、重砸、旋風腿、擒拿、斧擊、瞬移刺殺、長鞭壓制與衝撞等。你需要觀察敵人的動作，利用走位、後跳、拳腳組合與場景高低差尋找反擊機會。你可以透過關卡獲得金幣、雞腿與神奇果實，用於強化角色屬性、招募隊友和點亮技能。技能樹包含拳擊、腿法與擒拿分支，讓主角逐漸成長出更豐富的戰鬥方式。遊戲仍在持續打磨中，歡迎透過回饋功能提交問題與建議，一起完善這款街頭格鬥作品。"
"ja-JP","シェルター格闘","横スクロール格闘。コンボ、つかみ、投げで敵に挑もう。","『シェルター格闘』は、横スクロール型のストリート格闘アクションゲームです。黒鋼城に入り、路地、荒れた崖、高層エリア、シェルター、森などのステージでさまざまな敵に挑みます。本作では、近接攻撃、つかみ、投げ、ジャンプ、飛び蹴り、コンボのつなぎが重要です。敵はスライディング、重い叩きつけ、旋風脚、組み技、斧攻撃、瞬間移動からの刺突、長いムチ攻撃、突進など、それぞれ異なる戦い方を持っています。敵の動きを見極め、位置取り、バックステップ、拳と脚の連携、ステージの高低差を使って反撃しましょう。ステージをクリアすると、ゴールド、チキン、不思議な果実を獲得できます。これらを使ってキャラクターを強化し、仲間を募集し、スキルを解放できます。スキルツリーには拳、脚技、つかみの分岐があり、進行に応じて戦い方が広がります。ゲームは現在も改善中です。ゲーム内のフィードバック機能から、問題や提案をお送りください。"
"ko-KR","대피소 격투","횡스크롤 거리 격투. 콤보, 잡기, 던지기로 싸우세요.","대피소 격투는 횡스크롤 거리 격투 액션 게임입니다. 플레이어는 흑강성에 들어가 골목, 절벽, 고층 지역, 대피소, 숲 등 다양한 스테이지에서 적들과 싸우게 됩니다. 게임은 근접 타격, 잡기, 던지기, 점프, 날아차기, 연속 콤보 연결을 중심으로 진행됩니다. 적들은 슬라이딩 킥, 강한 내려찍기, 회전 발차기, 잡기 기술, 도끼 공격, 순간이동 찌르기, 긴 채찍 공격, 돌진 등 서로 다른 전투 방식을 사용합니다. 적의 움직임을 살피고, 위치를 조절하며, 백스텝과 주먹·발차기 연계를 활용해 반격하세요. 스테이지를 클리어하면 골드, 닭다리, 신비한 열매를 얻을 수 있습니다. 이를 사용해 캐릭터 능력치를 강화하고, 동료를 모집하며, 스킬을 해금할 수 있습니다. 스킬 트리는 주먹, 발차기, 잡기 분기로 구성되어 진행할수록 더 다양한 전투 선택지를 제공합니다. 게임은 계속 개선 중입니다. 게임 내 피드백 기능을 통해 문제나 제안을 보내 주세요."
"es-419","Combate del Refugio","Lucha callejera lateral con combos, agarres y aliados.","Combate del Refugio es un juego de acción y lucha callejera de desplazamiento lateral. Entra en Ciudad Acero Negro y combate a través de callejones, acantilados, azoteas, refugios, bosques y otros escenarios peligrosos. El juego se centra en golpes cuerpo a cuerpo, agarres, lanzamientos, saltos, patadas voladoras y continuaciones de combo. Los enemigos usan estilos distintos: patadas deslizantes, golpes pesados, patadas giratorias, agarres, ataques con hacha, puñaladas con teletransporte, ataques de látigo a distancia y cargas brutales. Observa sus movimientos, controla tu posición, usa saltos hacia atrás, combina puños y patadas, y aprovecha los desniveles del escenario para contraatacar. Supera fases para conseguir oro, pollo y fruta mística. Úsalos para mejorar a tu luchador, reclutar aliados y desbloquear habilidades. El árbol de habilidades incluye ramas de puños, técnicas de pierna y agarres, ampliando tus opciones de combate a medida que avanzas. El juego sigue en desarrollo y mejora constante. Puedes enviar problemas y sugerencias desde la función de comentarios del juego."
"es-US","Combate del Refugio","Lucha callejera lateral con combos, agarres y aliados.","Combate del Refugio es un juego de acción y lucha callejera de desplazamiento lateral. Entra en Ciudad Acero Negro y combate a través de callejones, acantilados, azoteas, refugios, bosques y otros escenarios peligrosos. El juego se centra en golpes cuerpo a cuerpo, agarres, lanzamientos, saltos, patadas voladoras y continuaciones de combo. Los enemigos usan estilos distintos: patadas deslizantes, golpes pesados, patadas giratorias, agarres, ataques con hacha, puñaladas con teletransporte, ataques de látigo a distancia y cargas brutales. Observa sus movimientos, controla tu posición, usa saltos hacia atrás, combina puños y patadas, y aprovecha los desniveles del escenario para contraatacar. Supera fases para conseguir oro, pollo y fruta mística. Úsalos para mejorar a tu luchador, reclutar aliados y desbloquear habilidades. El árbol de habilidades incluye ramas de puños, técnicas de pierna y agarres, ampliando tus opciones de combate a medida que avanzas. El juego sigue en desarrollo y mejora constante. Puedes enviar problemas y sugerencias desde la función de comentarios del juego."
"es-ES","Combate del Refugio","Lucha callejera lateral con combos, agarres y aliados.","Combate del Refugio es un juego de acción y lucha callejera de desplazamiento lateral. Entra en Ciudad Acero Negro y combate a través de callejones, acantilados, azoteas, refugios, bosques y otros escenarios peligrosos. El juego se centra en golpes cuerpo a cuerpo, agarres, lanzamientos, saltos, patadas voladoras y continuaciones de combo. Los enemigos usan estilos distintos: patadas deslizantes, golpes pesados, patadas giratorias, agarres, ataques con hacha, puñaladas con teletransporte, ataques de látigo a distancia y cargas brutales. Observa sus movimientos, controla tu posición, usa saltos hacia atrás, combina puños y patadas, y aprovecha los desniveles del escenario para contraatacar. Supera fases para conseguir oro, pollo y fruta mística. Úsalos para mejorar a tu luchador, reclutar aliados y desbloquear habilidades. El árbol de habilidades incluye ramas de puños, técnicas de pierna y agarres, ampliando tus opciones de combate a medida que avanzas. El juego sigue en desarrollo y mejora constante. Puedes enviar problemas y sugerencias desde la función de comentarios del juego."
"pt-BR","Combate do Abrigo","Luta de rua lateral com combos, agarrões e aliados.","Combate do Abrigo é um jogo de ação e luta de rua com rolagem lateral. Entre na Cidade Aço Negro e lute por becos, penhascos, telhados, abrigos, florestas e outros estágios perigosos. O jogo se concentra em golpes corpo a corpo, agarrões, arremessos, saltos, chutes voadores e continuações de combo. Os inimigos usam estilos diferentes, incluindo rasteiras, golpes pesados, chutes giratórios, agarrões, ataques com machado, facadas com teletransporte, ataques longos de chicote e investidas brutais. Observe os movimentos deles, controle sua posição, use saltos para trás, combine socos e chutes e aproveite as diferenças de altura do cenário para contra-atacar. Conclua fases para ganhar ouro, frango e frutas místicas. Use esses recursos para melhorar seu lutador, recrutar aliados e desbloquear habilidades. A árvore de habilidades inclui ramos de socos, técnicas de perna e agarrões, oferecendo mais opções de combate conforme você avança. O jogo ainda está sendo aprimorado. Envie problemas e sugestões pela função de feedback dentro do jogo."
